"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 09:26:58 ICT 2021","Fri Aug 20 09:27:11 ICT 2021","12807","Test Suite","Demo Folder Tests","com.flodesk.tests.Tests","com.flodesk.tests.Tests","_5addEmailToFolderByCreateNewFolder","_5addEmailToFolderByCreateNewFolder","Add email to new folder by create new one"
"passed","Fri Aug 20 09:29:36 ICT 2021","Fri Aug 20 09:29:42 ICT 2021","6443","Test Suite","Demo Folder Tests","com.flodesk.tests.Tests","com.flodesk.tests.Tests","_9renameFolder","_9renameFolder","Rename folder"
"passed","Fri Aug 20 09:29:52 ICT 2021","Fri Aug 20 09:29:57 ICT 2021","5162","Test Suite","Demo Folder Tests","com.flodesk.tests.Tests","com.flodesk.tests.Tests","_9zdeleteFolder","_9zdeleteFolder","Delete folder"
"passed","Fri Aug 20 09:26:10 ICT 2021","Fri Aug 20 09:26:15 ICT 2021","4205","Test Suite","Demo Folder Tests","com.flodesk.tests.Tests","com.flodesk.tests.Tests","_2createNewFolderWithExistedName","_2createNewFolderWithExistedName","Create new folder with existed name"
"passed","Fri Aug 20 09:26:26 ICT 2021","Fri Aug 20 09:26:29 ICT 2021","2915","Test Suite","Demo Folder Tests","com.flodesk.tests.Tests","com.flodesk.tests.Tests","_3createNewFolderWithEmptyName","_3createNewFolderWithEmptyName","Create new folder with empty name"
"passed","Fri Aug 20 09:28:17 ICT 2021","Fri Aug 20 09:28:34 ICT 2021","17524","Test Suite","Demo Folder Tests","com.flodesk.tests.Tests","com.flodesk.tests.Tests","_7moveEmailToNewFolderByCreateOne","_7moveEmailToNewFolderByCreateOne","Move email from folder to new folder by create new one"
"passed","Fri Aug 20 09:26:38 ICT 2021","Fri Aug 20 09:26:48 ICT 2021","10553","Test Suite","Demo Folder Tests","com.flodesk.tests.Tests","com.flodesk.tests.Tests","_4addEmailToFolder","_4addEmailToFolder","Add email to folder"
"passed","Fri Aug 20 09:28:44 ICT 2021","Fri Aug 20 09:29:22 ICT 2021","38600","Test Suite","Demo Folder Tests","com.flodesk.tests.Tests","com.flodesk.tests.Tests","_8removeEmailFromFolder","_8removeEmailFromFolder","Remove email from folder"
"passed","Fri Aug 20 09:27:22 ICT 2021","Fri Aug 20 09:28:07 ICT 2021","44808","Test Suite","Demo Folder Tests","com.flodesk.tests.Tests","com.flodesk.tests.Tests","_6moveEmailToAnotherFolder","_6moveEmailToAnotherFolder","Move email from folder to another folder"
"failed","Fri Aug 20 09:32:17 ICT 2021","Fri Aug 20 09:32:20 ICT 2021","2720","Test Suite","Demo Folder Tests","com.flodesk.tests.Tests","com.flodesk.tests.Tests","_1createNewFolder","_1createNewFolder","Create new folder"
